doc,class
product_type-shirt sleeve_style-sleeveless color-orange color-blue color_group-bright color_group-warm_color color_group-cool_color cut-distressed style-rip fabric-denim neckline-high_neck length-long,0
product_type-shirt sleeve_style-3_4_sleeve fabric-stretch_cotton neckline-point_collar neckline-collar_button fit-regular_fit color-white color_group-pale,0
product_type-shirt fabric-woven neckline-point_collar cut-concealed_button fit-regular_fit color-black color_group-dark,0
product_type-shirt color-pattern color-blue color-white color_group-pattern color_group-pale neckline-point_collar fit-relaxed fit-baggy,0
product_type-shirt neckline-point_collar cut-concealed_button fit-regular_fit color-black color_group-dark,0
product_type-shirt cut-peplum cut-peplum_hem neckline-collar_button fit-regular_fit color-blue,0
product_type-shirt fit-oversized color-pattern color-blue color-pink color_group-pattern color_group-dark neckline-collar cut-button cut-pocket,0
product_type-shirt sleeve_style-3_4_sleeve fabric-stretch_cotton neckline-point_collar neckline-collar_button fit-regular_fit color-white color_group-pale,0
product_type-shirt fabric-woven neckline-point_collar cut-concealed_button fit-regular_fit color-black color_group-dark,0
product_type-shirt color-pattern color-blue color-white color_group-pattern color_group-pale neckline-point_collar fit-relaxed fit-baggy,0
product_type-shirt neckline-point_collar cut-concealed_button fit-regular_fit color-black color_group-dark,0
product_type-shirt fit-oversized color-pattern color-blue color-pink color_group-pattern color_group-dark neckline-collar cut-button cut-pocket,0
product_type-shirt color-black color_group-dark neckline-point_collar fit-regular_fit,0
product_type-shirt fabric-denim color-blue color_group-bright color_group-cool_color length-mid neckline-point_collar sleeve_style-long_sleeve cut-button fit-regular_fit style-classic,0
product_type-shirt color-pattern color_group-pattern neckline-point_collar neckline-collar_button fit-relaxed,0
product_type-shirt fabric-denim fabric-cotton color-blue color_group-bright color_group-cool_color cut-button_down neckline-collar_button fit-regular_fit,0
product_type-shirt fabric-denim fabric-cotton fit-fitted fit-regular_fit style-western color-blue color_group-bright color_group-cool_color length-mid neckline-collar,0
product_type-shirt color_group-pale neckline-point_collar neckline-collar_button fit-regular_fit,0
product_type-shirt color-white color_group-pale style-classic style-vintage fit-relaxed fit-skinny,0
product_type-shirt color-white color_group-pale style-classic style-vintage fit-relaxed fit-skinny,0
product_type-shirt color-white color_group-pale style-classic style-vintage fit-relaxed fit-skinny,0
product_type-shirt color-white color_group-pale style-classic style-vintage fit-relaxed fit-skinny,0
product_type-shirt color-white color_group-pale style-classic style-vintage fit-relaxed fit-skinny,0
